,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
1994,0,0,0,0,0,0,0,1,1,1
1995,2,0,1,0,0,0,0,1,1,1
1996,2,1,1,1,0,0,0,1,1,1
1997,1,1,1,0,0,0,0,1,1,1
1998,1,0,0,0,0,0,0,1,1,1
1999,0,1,1,1,0,0,0,1,1,1
2000,0,1,0,0,0,0,0,1,1,1
2001,0,1,0,0,0,0,0,1,1,1
2002,0,0,0,0,0,0,0,1,1,1
2003,0,0,0,1,0,0,0,1,1,1
2004,0,0,0,0,0,0,0,1,1,1
2005,2,1,1,0,0,0,0,1,1,1
2006,0,1,0,0,0,0,0,1,1,1
2007,0,0,0,0,0,0,0,1,1,1
2008,1,1,1,0,0,0,0,1,1,1
2009,2,1,1,0,0,0,0,1,1,1
2010,0,0,0,0,0,0,0,1,1,1
2011,2,1,0,0,0,0,0,1,1,1
2012,0,1,0,1,0,0,0,1,1,1
2013,0,1,0,0,0,0,0,1,1,1
2014,1,1,2,1,0,0,0,1,1,1
2015,0,0,1,0,0,0,0,1,1,1
2016,0,0,0,0,0,0,0,1,1,1
2017,0,0,0,0,0,0,0,1,1,1
2018,0,0,0,0,0,0,0,1,1,1
2019,0,0,0,0,0,0,0,1,1,1
2020,2,1,1,0,0,0,0,1,1,1
2021,0,0,1,1,0,0,0,1,1,1
2022,2,0,2,1,0,0,0,1,1,1
2023,0,1,1,1,0,0,1,1,1,1
2024,2,0,0,1,0,0,1,1,1,1
2025,2,1,0,1,0,0,1,1,1,1
2026,0,0,2,1,0,0,1,1,1,1
2027,2,1,0,1,0,0,1,1,1,1
2028,0,0,1,1,0,0,1,1,1,1
2029,2,0,2,1,0,0,1,1,1,0
2030,2,0,2,1,1,0,1,1,1,1
2031,2,1,2,1,1,0,1,1,1,0
2035,1,1,1,1,0,0,1,1,1,0
2040,2,1,2,1,0,0,0,1,1,1
2042,1,0,1,0,0,0,0,1,1,1
2043,1,1,1,1,0,0,0,1,1,1
2044,1,1,1,0,0,0,0,1,1,1
2046,2,1,1,1,1,0,1,1,1,1
2047,2,1,2,0,0,0,0,1,1,1
2048,2,0,1,1,0,0,0,1,1,1
2049,2,1,0,0,0,0,0,1,1,1
2050,0,1,0,0,0,0,0,1,1,1
2051,0,1,0,0,0,0,0,1,1,1
2052,1,0,1,0,0,0,0,1,1,1
2053,0,0,0,0,0,0,0,1,1,1
2054,0,0,0,0,0,0,0,1,1,1
