,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats,cluster
28,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
29,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
30,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4
31,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
32,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
33,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
34,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
35,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
36,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2
37,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
38,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
39,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
40,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
41,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5
42,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
43,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
44,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1
45,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
46,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
48,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2
49,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3
50,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
51,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
52,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2
53,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
54,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
55,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
56,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2
57,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
58,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
59,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1
60,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2
61,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
62,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
63,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2
64,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2
65,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
66,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2
67,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
68,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
69,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3
70,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
71,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
72,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4
73,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
