,breed_primary,breed_mixed,breed_unknown,color_primary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs
1018,49,0,0,2,3,1,3,4,1,1,0,1,0,1
1021,130,0,0,4,0,1,1,4,1,1,0,1,1,0
1022,24,1,0,2,3,1,1,4,1,1,0,1,1,1
1023,84,1,0,1,3,1,2,4,1,1,0,1,1,1
1024,34,1,0,3,3,0,2,4,1,0,0,1,0,1
1025,137,1,0,3,0,0,3,4,1,1,0,0,1,1
1028,49,1,0,6,3,1,3,4,1,1,0,1,1,1
1029,39,1,0,2,0,1,3,2,1,1,0,1,0,1
1054,49,1,0,14,0,0,3,4,1,1,0,1,1,1
1055,49,1,0,4,0,0,3,4,0,1,0,1,1,1
1057,64,1,0,13,1,1,1,4,1,0,0,1,1,1
1058,130,1,0,2,0,0,2,4,1,1,0,1,1,1
1073,30,1,0,2,1,1,2,4,0,1,0,1,1,1
1075,116,0,0,2,3,0,2,3,1,1,0,1,1,1
1133,62,0,0,10,3,0,3,4,1,1,0,1,1,1
1137,84,1,0,1,0,1,1,2,1,0,0,1,1,1
1138,34,1,0,3,3,0,2,4,1,1,0,1,1,1
1139,106,1,0,2,0,1,1,3,1,1,0,1,1,1
1159,103,0,0,13,0,1,2,3,1,1,0,1,1,1
1161,34,0,0,2,0,0,3,4,1,1,1,1,1,1
1162,116,1,0,14,2,1,2,4,1,1,0,1,1,1
1168,24,1,0,2,0,1,2,4,1,1,0,0,1,1
1175,49,0,0,0,0,0,3,4,1,1,0,1,0,1
1178,106,1,0,1,0,1,1,3,1,1,0,1,0,1
1183,59,1,0,1,2,0,3,4,1,1,0,1,0,1
1185,88,0,0,8,3,1,0,4,0,0,0,1,1,1
1200,49,0,0,5,0,0,3,4,1,1,0,1,1,1
1201,49,0,0,12,0,1,3,4,1,1,0,1,1,1
1202,30,1,0,2,3,1,2,4,1,1,0,1,1,1
1206,34,0,0,13,2,0,1,4,1,1,0,1,1,1
1209,130,1,0,0,0,0,2,4,1,1,0,1,1,1
1210,130,1,0,6,0,1,2,4,1,1,0,1,1,1
1216,165,1,0,5,1,1,1,4,1,1,0,1,0,1
1217,162,1,0,1,3,0,2,4,1,0,0,1,1,1
1224,180,0,0,0,0,0,3,4,1,1,0,1,0,1
1225,44,1,0,0,0,1,2,4,1,1,1,1,1,1
1227,144,0,0,12,3,0,0,4,1,0,0,1,1,1
1228,144,1,0,1,0,0,0,2,0,0,0,1,1,1
1234,144,0,0,12,3,0,0,2,1,0,0,1,0,0
1236,24,1,0,2,2,0,2,4,1,0,0,1,0,0
1237,34,1,0,3,2,1,2,4,1,0,0,1,0,0
1239,140,1,0,2,2,0,2,3,1,0,0,1,0,0
1240,12,1,0,0,1,0,2,4,1,1,0,1,1,1
1241,64,1,0,10,3,1,2,4,1,1,0,1,1,1
1242,62,1,0,13,3,0,3,4,1,1,0,1,1,1
1244,132,1,0,2,3,0,2,4,1,1,0,1,1,1
1245,84,1,0,11,3,1,2,3,1,1,0,1,1,1
1254,165,1,0,2,0,1,3,2,1,0,0,1,0,1
1260,130,1,0,6,3,0,2,4,0,0,0,0,1,1
1280,130,0,0,3,1,1,2,4,1,0,0,1,1,1
1284,84,0,0,2,0,1,1,3,1,1,0,1,1,1
1312,49,0,0,2,0,0,3,4,1,0,0,0,0,1
1320,165,1,0,0,1,1,3,4,1,1,0,1,1,1
1326,138,1,0,0,0,0,3,4,1,1,0,1,0,1
1340,62,1,0,2,3,1,2,3,1,1,0,1,1,1
1341,62,1,0,1,0,1,3,4,1,1,0,1,0,1
1345,49,0,0,5,0,0,3,4,1,1,0,1,1,1
1351,49,1,0,13,1,0,3,5,0,0,0,0,0,0
1354,94,1,0,13,1,1,2,4,0,0,0,1,1,1
1355,94,1,0,12,1,1,2,4,0,0,0,1,1,1
1356,94,1,0,14,1,0,2,4,0,0,0,1,1,1
1357,94,1,0,2,1,1,2,4,0,0,0,1,1,1
1381,106,1,0,4,0,1,1,4,1,0,0,0,1,1
1409,49,1,0,5,3,0,3,3,1,1,0,1,1,1
1410,81,0,0,2,0,0,3,4,1,1,0,1,0,0
1417,106,0,0,4,1,0,3,4,0,1,0,0,1,1
1426,88,1,0,2,1,1,1,4,0,0,1,1,1,1
1430,62,1,0,0,1,1,3,4,1,0,0,1,1,1
1431,165,1,0,6,3,1,3,4,1,1,0,1,1,1
1432,165,1,0,6,3,1,3,4,1,1,0,1,1,1
1436,130,1,0,1,0,0,2,4,1,1,0,1,1,1
1441,49,1,0,5,3,1,3,4,1,1,0,1,0,1
1442,130,1,0,3,0,0,2,4,1,1,0,1,1,1
1443,3,0,0,13,0,1,1,3,1,1,0,1,1,1
1469,49,0,0,5,0,0,3,4,1,1,0,1,1,1
1477,84,1,0,2,3,1,1,4,1,0,0,0,1,1
1484,165,0,0,13,1,1,2,3,1,0,0,1,1,0
1489,130,1,0,3,0,1,1,4,1,1,0,0,0,0
1521,49,1,0,3,1,0,3,4,1,1,0,1,1,1
1526,132,1,0,4,3,1,2,4,1,1,1,1,1,1
1527,101,1,0,14,1,1,2,4,0,0,0,0,1,1
1530,56,0,0,14,3,1,2,3,1,1,0,1,0,1
1531,84,1,0,12,1,0,1,3,0,0,0,1,1,1
1532,84,1,0,12,1,0,1,3,0,0,0,1,1,1
1533,84,1,0,12,1,1,1,3,0,0,0,1,1,1
1534,130,1,0,13,3,0,2,4,1,1,0,1,1,1
1535,84,0,0,2,3,1,1,3,1,1,0,1,1,1
1542,49,1,0,10,0,0,3,4,1,1,1,1,1,1
1545,34,1,0,4,0,0,2,4,0,1,0,1,1,1
1547,130,1,0,6,2,0,2,4,1,1,0,1,1,1
1548,130,1,0,3,0,0,1,4,1,1,0,0,1,1
1550,130,1,0,5,2,0,1,4,1,1,0,1,1,1
1554,68,1,0,2,0,1,2,4,1,1,0,1,1,0
1556,130,0,0,2,3,0,1,4,1,0,0,1,0,1
1557,152,1,0,10,3,1,2,3,1,1,0,1,0,1
1558,165,0,0,5,0,0,3,4,1,1,0,0,1,1
1561,138,1,0,12,0,1,3,4,1,1,0,1,1,1
1568,156,0,0,6,0,1,1,2,1,1,0,1,1,1
1572,130,1,0,13,3,0,2,4,1,1,0,1,1,1
1573,9,1,0,3,0,0,2,4,1,1,0,1,1,1
1577,56,0,0,10,0,1,2,3,1,1,0,1,0,0
1578,9,1,0,10,0,0,1,4,1,1,0,1,1,1
1582,56,0,0,1,0,1,2,3,1,1,0,1,0,0
1584,113,0,0,2,0,1,3,4,0,1,0,0,1,1
1588,84,0,0,1,0,0,1,4,1,1,0,1,1,1
1593,130,1,0,13,0,0,2,4,1,1,0,1,1,0
1594,130,1,0,13,0,1,1,4,1,1,1,0,1,0
1598,138,1,0,12,1,1,3,4,0,0,0,1,1,1
1599,123,1,0,2,3,1,3,3,1,0,0,1,1,1
1602,130,1,0,6,0,1,2,4,1,0,1,1,1,1
1607,130,1,0,5,1,0,2,4,1,1,0,1,1,1
1608,106,1,0,5,1,1,2,4,1,1,0,1,1,1
1612,56,1,0,4,0,1,2,3,1,1,1,1,0,0
1614,84,1,0,2,3,1,1,3,1,1,0,0,1,1
1617,109,0,0,13,3,1,3,3,1,1,0,1,1,1
1626,49,1,0,10,0,1,3,4,1,1,0,1,1,1
