,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
153,180,-1,1,0,-1,-1,1,1,2,-1,1,0,0,1,-1,1,-1
154,212,-1,0,0,-1,-1,3,1,3,-1,1,0,0,1,-1,1,-1
155,53,-1,1,0,3,-1,3,0,2,-1,1,1,0,1,1,1,-1
156,53,-1,1,0,-1,-1,3,0,2,4,1,1,0,1,1,1,-1
157,132,-1,1,0,14,-1,3,1,1,-1,1,1,0,1,1,1,-1
158,68,50,1,0,-1,-1,0,0,3,-1,1,0,0,1,-1,-1,-1
159,57,-1,0,0,-1,-1,0,1,3,-1,1,0,0,1,-1,-1,-1
160,57,-1,1,0,-1,-1,3,1,3,4,1,0,0,1,1,1,0
161,22,10,1,0,-1,-1,1,1,1,4,1,1,0,1,-1,1,-1
162,157,-1,1,0,3,-1,1,0,2,4,1,0,0,1,-1,1,-1
163,71,50,1,0,5,-1,3,0,3,4,1,0,0,1,-1,1,-1
164,57,60,1,0,5,-1,3,1,3,4,1,0,0,1,-1,1,-1
165,71,-1,1,0,0,-1,0,1,3,4,1,0,0,1,-1,1,-1
166,117,139,1,0,0,13,3,0,3,3,1,1,0,1,0,1,-1
167,117,139,1,0,0,13,3,0,3,3,1,1,0,1,0,1,-1
168,124,156,1,0,2,-1,3,1,2,3,1,0,0,1,-1,-1,-1
169,178,-1,1,0,10,13,0,0,1,4,0,0,0,0,-1,-1,-1
170,97,106,1,0,-1,-1,2,0,1,-1,1,1,0,0,-1,1,-1
171,124,-1,0,0,2,-1,0,0,1,3,1,1,0,1,-1,1,-1
172,71,50,1,0,-1,-1,3,1,3,-1,1,0,0,1,-1,1,-1
173,195,-1,1,0,-1,-1,1,1,3,-1,1,0,0,1,-1,1,-1
174,57,-1,1,0,-1,-1,1,0,3,-1,1,0,0,1,-1,1,-1
175,18,120,1,0,-1,-1,0,1,2,-1,1,0,0,0,-1,-1,-1
176,157,120,1,0,-1,-1,3,1,2,-1,1,0,0,0,-1,-1,-1
177,49,120,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
178,180,-1,1,0,1,-1,0,0,2,3,1,0,0,1,1,1,-1
179,40,135,1,0,2,-1,0,0,2,4,1,0,0,1,1,0,-1
180,171,135,1,0,0,13,1,1,1,3,1,0,0,1,1,1,-1
181,74,6,1,0,2,3,0,1,1,4,1,0,0,1,-1,-1,-1
182,157,36,1,0,0,13,0,1,2,3,1,0,0,1,-1,-1,-1
183,97,-1,0,0,-1,-1,1,1,1,-1,1,0,0,0,-1,-1,-1
184,97,-1,0,0,-1,-1,0,1,1,-1,0,0,0,0,-1,-1,-1
185,97,-1,0,0,-1,-1,3,0,1,-1,0,0,0,0,-1,-1,-1
186,97,-1,1,0,-1,-1,1,1,2,-1,0,0,0,0,-1,-1,-1
187,97,-1,1,0,-1,-1,1,1,2,-1,0,0,0,0,-1,-1,-1
188,157,66,1,0,5,13,1,0,1,-1,1,1,0,1,1,1,-1
189,157,-1,1,0,-1,-1,3,0,2,-1,1,0,0,0,-1,-1,-1
190,52,-1,0,0,2,6,0,0,2,4,0,0,0,0,-1,-1,-1
191,157,-1,1,0,-1,-1,3,1,1,-1,0,0,0,0,-1,-1,-1
192,157,-1,1,0,-1,-1,3,1,2,-1,0,0,0,0,-1,-1,-1
193,52,120,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
194,57,-1,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
195,57,-1,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
196,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
197,73,-1,0,0,10,14,0,0,1,4,1,0,0,1,-1,1,-1
198,73,-1,0,0,10,14,2,1,2,4,1,1,0,1,1,1,-1
199,73,-1,0,0,2,14,2,1,1,4,1,0,0,1,-1,-1,-1
200,57,-1,1,0,4,13,2,1,3,4,1,1,0,1,-1,1,-1
201,57,-1,1,0,12,-1,2,1,3,4,1,1,0,1,-1,1,-1
202,57,60,1,0,2,13,0,0,3,4,1,1,0,1,-1,1,-1
203,195,-1,1,0,2,4,0,0,3,4,1,1,0,1,-1,1,-1
204,195,189,1,0,0,13,2,1,3,4,1,0,0,1,-1,1,-1
205,57,-1,1,0,13,14,2,1,3,4,1,1,0,1,-1,1,-1
206,57,17,1,0,5,13,0,1,3,4,1,0,0,1,-1,1,-1
207,57,-1,1,0,4,-1,2,1,3,4,1,0,0,1,-1,1,-1
208,129,139,1,0,13,-1,0,1,3,4,1,0,0,1,-1,1,-1
209,57,60,1,0,5,-1,0,1,3,4,1,1,0,1,-1,1,-1
210,57,-1,1,0,11,-1,0,1,3,4,1,0,0,1,-1,1,-1
