,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
1675,0,0,2,1,1,0,1,0,1,0
1678,0,1,2,1,1,0,1,0,1,0
1726,1,1,3,1,0,0,1,1,1,1
1747,1,0,2,1,0,0,1,1,1,1
1748,3,1,2,1,0,0,1,1,1,1
1757,2,0,2,1,1,0,1,1,1,0
1769,0,1,3,1,0,0,1,1,1,0
1790,1,0,2,1,0,0,1,1,1,1
1807,0,0,3,1,0,0,1,0,1,0
1812,0,0,3,1,1,0,1,1,1,1
1815,1,0,1,1,0,0,1,1,1,1
1816,1,0,3,1,0,0,1,1,1,1
1821,0,1,3,1,1,0,1,0,1,0
1823,1,1,3,1,0,0,1,1,1,1
1826,0,1,3,1,0,0,1,0,0,0
1829,3,0,3,1,0,0,1,1,1,1
1831,2,1,1,1,1,0,1,1,1,0
1832,1,1,2,1,0,0,1,0,1,1
1833,0,1,2,1,1,0,1,0,0,0
1836,3,1,1,1,1,0,1,1,1,1
1839,0,1,1,1,1,0,1,1,1,1
1840,0,1,1,1,1,0,1,1,1,1
1843,0,1,1,1,1,0,1,1,0,0
1844,0,0,2,1,1,1,1,0,0,0
1861,0,1,2,1,1,0,1,1,1,1
1863,3,1,2,1,1,0,1,1,1,1
1864,1,1,2,0,0,0,1,1,1,1
1865,1,0,2,0,0,0,1,1,1,1
1871,0,0,2,1,0,0,1,1,1,0
1893,0,1,1,0,0,0,0,1,1,1
1894,0,1,1,0,0,0,0,1,1,1
1895,1,0,2,1,1,0,1,1,1,1
1902,1,0,3,0,0,0,0,1,1,1
1909,1,1,3,0,0,0,0,1,1,1
1910,0,0,3,0,0,0,0,1,1,1
1911,1,0,3,0,0,0,0,1,1,1
1912,1,0,3,0,0,0,0,1,1,1
1913,1,0,3,0,0,0,0,1,1,1
1914,1,0,3,0,0,0,0,1,1,1
1915,1,1,3,0,0,0,0,1,1,1
1916,1,0,3,0,0,0,0,1,1,1
1917,1,0,3,0,0,0,0,1,1,1
1918,0,1,3,1,0,0,0,1,1,1
1932,1,1,3,0,0,0,0,1,1,1
1933,1,1,3,0,0,0,0,1,1,1
1934,1,0,3,0,0,0,0,1,1,1
1935,1,1,3,0,0,0,0,1,1,1
1936,0,0,2,0,0,0,0,1,1,1
1937,0,0,2,0,0,0,0,1,1,1
1938,1,1,3,0,0,0,0,1,1,1
1939,1,1,3,0,0,0,0,1,1,1
1940,1,0,1,0,0,0,1,1,1,1
1941,1,1,2,0,0,0,1,1,1,1
1942,1,1,2,0,0,0,1,1,1,1
1943,1,1,2,0,0,0,1,1,1,1
1944,1,1,1,0,0,0,1,1,1,1
1945,1,0,1,0,0,0,1,1,1,1
1946,1,1,1,0,0,0,1,1,1,1
1947,1,0,1,0,0,0,1,1,1,1
1948,1,0,2,1,0,0,0,1,1,1
1949,1,0,1,0,0,0,0,1,1,1
1952,1,1,3,0,0,0,0,1,1,1
1953,1,0,3,0,0,0,0,1,1,1
1954,1,0,3,0,0,0,0,1,1,1
1955,1,0,3,0,0,0,0,1,1,1
1956,1,1,3,0,0,0,0,1,1,1
1957,1,0,3,1,0,0,0,1,1,1
1958,0,1,3,1,0,0,0,1,1,1
1959,1,0,3,1,0,0,0,1,1,1
1960,1,1,3,0,0,0,0,1,1,1
1964,1,1,2,0,0,0,1,1,1,1
1965,1,0,2,0,0,0,1,1,1,1
1966,3,0,2,0,0,0,1,1,1,1
1967,3,1,2,0,0,0,1,1,1,1
1979,1,1,2,1,0,0,1,1,1,1
1980,1,1,2,1,0,0,1,1,1,1
1982,0,0,3,1,0,0,0,1,1,1
1983,0,1,2,0,0,0,0,1,1,1
1984,1,0,3,0,0,0,0,1,1,1
1985,1,1,3,0,0,0,0,1,1,1
1986,3,1,2,0,0,0,0,1,1,1
1987,1,0,3,0,0,0,0,1,1,1
1988,1,0,3,0,0,0,0,1,1,1
1989,1,1,3,0,0,0,0,1,1,1
1990,1,0,3,1,0,0,0,1,1,1
1991,1,0,3,0,0,0,0,1,1,1
1992,0,1,2,1,0,0,0,1,1,1
1993,1,0,3,0,0,0,0,1,1,1
1994,1,0,3,0,0,0,0,1,1,1
1995,0,0,2,0,0,0,0,1,1,1
1996,0,1,2,1,0,0,0,1,1,1
1997,3,1,2,0,0,0,0,1,1,1
1998,3,0,3,0,0,0,0,1,1,1
1999,1,1,2,1,0,0,0,1,1,1
2000,1,1,3,0,0,0,0,1,1,1
2001,1,1,3,0,0,0,0,1,1,1
2002,1,0,3,0,0,0,0,1,1,1
2003,1,0,3,1,0,0,0,1,1,1
2004,1,0,3,0,0,0,0,1,1,1
2005,0,1,2,0,0,0,0,1,1,1
2006,1,1,3,0,0,0,0,1,1,1
2007,1,0,3,0,0,0,0,1,1,1
2008,3,1,2,0,0,0,0,1,1,1
2009,0,1,2,0,0,0,0,1,1,1
2010,1,0,3,0,0,0,0,1,1,1
2011,0,1,3,0,0,0,0,1,1,1
2012,1,1,3,1,0,0,0,1,1,1
2013,1,1,3,0,0,0,0,1,1,1
2014,3,1,1,1,0,0,0,1,1,1
2015,1,0,2,0,0,0,0,1,1,1
2016,1,0,3,0,0,0,0,1,1,1
2017,1,0,3,0,0,0,0,1,1,1
2018,1,0,3,0,0,0,0,1,1,1
2019,1,0,3,0,0,0,0,1,1,1
2020,0,1,2,0,0,0,0,1,1,1
2021,1,0,2,1,0,0,0,1,1,1
2022,0,0,1,1,0,0,0,1,1,1
2023,1,1,2,1,0,0,1,1,1,1
2024,0,0,3,1,0,0,1,1,1,1
2025,0,1,3,1,0,0,1,1,1,1
2026,1,0,1,1,0,0,1,1,1,1
2027,0,1,3,1,0,0,1,1,1,1
2028,1,0,2,1,0,0,1,1,1,1
2029,0,0,1,1,0,0,1,1,1,0
2030,0,0,1,1,1,0,1,1,1,1
2031,0,1,1,1,1,0,1,1,1,0
2035,3,1,2,1,0,0,1,1,1,0
2040,0,1,1,1,0,0,0,1,1,1
2042,3,0,2,0,0,0,0,1,1,1
2043,3,1,2,1,0,0,0,1,1,1
2044,3,1,2,0,0,0,0,1,1,1
2046,0,1,2,1,1,0,1,1,1,1
2047,0,1,1,0,0,0,0,1,1,1
2048,0,0,2,1,0,0,0,1,1,1
2049,0,1,3,0,0,0,0,1,1,1
2050,1,1,3,0,0,0,0,1,1,1
2051,1,1,3,0,0,0,0,1,1,1
2052,3,0,2,0,0,0,0,1,1,1
2053,1,0,3,0,0,0,0,1,1,1
2054,1,0,3,0,0,0,0,1,1,1
2055,1,0,3,0,0,0,0,1,1,1
2056,1,0,3,0,0,0,0,1,1,1
2057,1,1,3,0,0,0,0,1,1,1
2058,1,1,3,0,0,0,0,1,1,1
2067,0,0,2,1,1,0,1,1,0,0
2083,1,1,3,0,0,0,0,1,1,1
2084,1,1,3,0,0,0,0,1,1,1
2085,1,1,3,0,0,0,0,1,1,1
2086,1,0,3,0,0,0,0,1,1,1
2087,1,0,3,0,0,0,0,1,1,1
2088,3,0,3,0,0,0,0,1,1,1
2089,0,0,2,0,0,0,0,1,1,1
2090,3,1,2,0,0,0,1,1,1,1
2092,0,1,2,0,0,0,0,1,1,1
2093,0,1,1,0,0,0,0,1,1,1
2094,0,0,1,0,0,0,0,1,1,1
2095,0,0,1,1,0,0,0,1,1,1
2096,0,0,2,0,0,0,0,1,1,1
2097,1,1,2,0,0,0,0,1,1,1
2098,1,0,3,0,0,0,0,1,1,1
2104,1,1,2,1,0,0,0,1,1,1
2105,0,1,2,1,0,0,0,1,1,1
2106,1,1,3,1,0,0,0,1,1,1
2118,1,0,3,1,0,0,0,1,1,1
2137,1,0,2,0,0,0,0,1,1,1
2143,3,1,2,1,0,0,0,1,1,1
2150,0,1,1,1,1,0,0,1,1,0
2151,1,1,3,1,0,0,0,1,1,1
2152,0,1,2,0,0,0,0,1,1,1
2159,0,0,1,1,0,0,0,1,1,1
2160,3,0,3,0,0,0,0,1,1,1
2161,1,1,3,1,0,0,0,1,1,1
2162,1,1,3,1,0,0,0,1,1,1
2163,0,0,2,0,0,0,0,1,1,1
2166,1,1,1,1,0,0,1,1,1,1
2167,1,1,1,0,0,0,1,1,1,1
2168,1,0,2,1,0,0,1,1,1,1
2169,1,0,2,1,0,0,1,1,1,1
2170,0,0,2,1,1,0,1,1,1,0
2171,1,1,1,1,0,0,1,1,1,1
2172,1,1,3,1,0,0,1,1,1,1
2173,0,1,2,1,0,0,0,1,1,1
2174,1,0,2,0,0,0,0,1,1,1
2175,1,1,2,0,0,0,0,1,1,1
2176,0,0,2,0,0,0,0,1,1,1
2177,0,1,1,1,0,0,0,1,1,1
2186,1,0,2,1,0,0,1,1,1,1
2187,1,0,2,1,0,0,1,1,1,1
2188,1,0,2,1,0,0,1,1,1,1
2189,1,1,2,1,0,0,1,1,1,1
2190,1,1,2,1,0,0,1,1,1,1
2191,0,0,3,0,0,0,0,1,1,1
2192,1,0,3,0,0,0,0,1,1,1
2193,1,1,3,0,0,0,0,1,1,1
2194,0,0,2,1,0,0,0,1,1,1
2195,0,1,1,0,0,0,0,1,1,1
2208,0,0,0,1,0,0,0,1,1,1
2209,0,1,1,1,0,0,0,1,1,1
2210,3,1,0,1,0,0,0,1,1,1
2211,0,1,1,1,0,0,0,1,1,1
2212,0,1,1,1,0,0,0,1,1,1
2213,0,1,0,1,0,0,0,1,1,1
2214,3,0,1,1,0,0,0,1,1,1
2215,3,0,1,1,0,0,0,1,1,1
2216,3,0,2,1,0,0,0,1,1,1
2217,2,1,3,1,0,0,0,1,1,1
2218,0,1,2,1,0,0,0,1,1,1
2219,3,1,1,0,0,0,0,1,1,1
2225,0,1,3,1,0,0,1,1,1,1
2246,1,0,2,0,0,0,1,1,1,1
2248,0,1,2,0,0,0,0,1,1,1
2255,0,1,2,1,1,0,1,1,0,0
2258,1,0,2,0,0,0,1,1,1,1
2259,1,0,2,0,0,0,1,1,1,1
2260,1,0,2,0,0,0,1,1,1,1
2261,1,0,2,0,0,0,1,1,1,1
2279,1,0,2,0,0,0,1,1,1,0
2287,3,1,1,1,0,0,1,1,1,0
2299,2,1,3,1,1,0,1,1,1,1
2301,3,1,2,0,0,0,1,1,1,1
2302,3,0,2,0,0,0,1,1,1,1
2310,1,0,3,1,0,0,1,1,1,1
2311,1,1,3,1,0,0,1,1,1,1
2314,0,1,2,1,0,0,0,1,1,1
2315,0,0,2,1,0,0,0,1,1,1
2316,0,0,2,1,0,0,0,1,1,1
2322,1,0,2,1,0,0,1,1,1,1
2325,0,1,1,1,0,0,0,1,1,1
2332,0,1,1,1,0,0,0,1,1,1
2337,1,0,3,1,0,0,1,1,1,1
2338,1,1,3,1,0,0,1,1,1,1
2339,1,1,3,1,0,0,1,1,1,1
2340,1,1,3,1,0,0,1,1,1,1
2357,3,1,3,0,0,0,0,1,1,1
2358,3,1,2,0,0,0,0,1,1,1
2364,0,0,1,0,0,0,0,1,1,1
2367,2,1,2,1,1,0,1,1,1,1
2368,3,1,2,1,0,0,0,1,1,1
2371,3,1,3,1,1,0,1,1,1,0
2377,3,0,2,1,0,0,0,1,1,1
2383,1,0,2,1,0,0,0,1,1,1
2389,3,1,1,1,0,0,0,1,1,1
2395,0,1,2,0,0,0,0,1,1,1
2407,3,1,2,0,0,0,0,1,1,1
2415,0,1,2,0,0,0,0,1,1,1
2418,0,1,3,1,0,0,1,0,1,0
2423,3,1,2,1,0,0,1,1,1,1
2424,0,0,2,1,0,0,1,1,1,1
2425,0,1,2,0,0,0,0,1,1,1
2426,1,0,3,1,0,0,0,1,1,1
2428,3,0,3,1,1,0,1,1,1,1
2437,0,1,2,1,0,0,0,1,1,1
2440,1,0,2,0,0,0,1,1,1,1
2441,1,1,2,0,0,0,1,1,1,1
2447,3,0,2,0,0,0,1,1,1,1
2448,0,1,1,1,0,0,0,1,1,1
2458,0,0,2,1,0,0,0,1,1,1
2475,0,0,2,1,1,0,1,1,1,1
2479,2,1,3,1,0,0,1,1,1,1
2486,0,1,1,1,0,0,0,1,1,1
2503,0,1,1,1,0,0,1,1,1,0
2506,3,0,1,1,0,0,1,1,1,0
2507,0,1,2,1,1,0,1,1,1,0
2512,2,0,2,1,1,0,1,1,0,0
2515,0,0,2,1,1,0,1,1,1,1
2525,3,1,2,1,0,0,1,1,1,1
2536,3,1,3,1,1,0,1,0,1,1
2540,3,0,2,1,0,0,1,1,1,1
2554,0,1,2,1,0,0,1,1,1,1
2558,1,0,1,1,0,0,1,1,1,1
2560,0,1,1,1,0,0,1,1,1,0
2561,2,1,2,1,1,0,1,1,1,1
2569,2,0,2,1,1,0,1,1,0,0
2574,0,0,3,1,0,0,1,1,1,1
2577,0,0,2,1,1,0,1,1,0,0
2580,2,0,2,1,1,0,1,1,1,1
2583,3,0,1,1,0,0,0,1,1,1
2587,3,1,3,1,1,0,1,0,1,0
2597,0,0,1,1,1,0,1,1,0,0
2598,1,0,2,1,0,0,1,1,1,1
2599,1,1,2,1,1,0,1,1,1,1
2601,0,1,2,1,0,0,1,1,1,1
2608,0,0,1,1,1,0,1,1,1,1
2609,1,1,2,1,1,0,1,1,1,1
2617,0,1,2,1,1,0,1,1,1,0
2640,0,1,3,1,1,0,1,0,0,0
2646,0,0,2,1,1,0,1,1,1,1
2647,3,1,2,1,1,0,0,1,1,1
2654,0,0,2,1,1,0,1,1,1,1
2658,0,0,3,1,1,0,1,0,0,0
2669,3,1,1,1,1,0,1,1,1,0
2674,3,1,2,0,0,0,1,1,1,1
2676,0,1,3,1,1,0,1,1,1,1
2677,2,1,2,1,0,0,1,0,1,1
2684,0,1,1,1,1,0,1,1,0,0
2686,3,0,2,1,1,0,1,1,1,1
2696,0,0,1,0,0,0,1,1,1,1
2699,3,1,2,1,1,0,1,1,1,0
2714,0,1,1,1,0,0,1,0,0,0
2715,0,0,2,1,1,0,1,1,0,0
2726,0,0,2,1,1,0,1,1,1,1
2730,2,1,1,1,0,0,1,1,1,1
2732,3,1,1,1,0,0,1,1,1,1
2733,0,0,2,1,1,0,1,1,1,1
2740,2,0,3,1,1,0,1,1,1,1
2742,2,0,3,1,1,0,1,1,1,1
2748,0,0,2,1,0,0,1,1,1,1
2757,0,0,1,0,0,0,1,1,1,1
2758,0,1,1,0,0,0,1,1,1,1
2762,0,1,1,1,0,0,1,0,0,0
2764,3,1,2,1,0,0,1,1,1,1
2765,0,0,1,1,0,0,1,1,1,0
2772,0,0,2,1,0,0,1,1,1,0
2778,0,1,2,1,1,0,1,1,1,1
2789,0,1,2,1,0,0,1,1,0,0
2790,0,0,2,1,1,0,1,1,1,0
2791,0,1,2,0,0,0,1,1,1,0
2795,2,1,2,1,1,0,1,1,1,1
2798,0,0,2,1,0,0,1,1,1,1
2805,2,0,3,1,0,1,1,1,1,1
2808,2,1,3,1,1,0,1,1,1,1
2809,1,1,2,1,1,0,1,1,1,1
2810,1,0,2,1,0,0,0,1,1,1
