,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
43968,Labrador Retriever,Shepherd,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
44017,American Bulldog,Basenji,True,False,Black,White / Cream,Young,Male,Medium,Short,True,True,False,True,True,True,False
44023,Rhodesian Ridgeback,American Bulldog,True,False,Red / Chestnut / Orange,White / Cream,Young,Male,Medium,Short,True,True,False,True,True,True,False
44031,Chihuahua,Miniature Pinscher,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Adult,Female,Small,Short,True,True,False,True,True,True,False
44064,Pit Bull Terrier,Labrador Retriever,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Baby,Female,Large,Short,True,True,False,True,True,True,False
44068,Shih Tzu,Poodle,True,False,Apricot / Beige,Yellow / Tan / Blond / Fawn,Adult,Male,Small,Long,True,True,False,True,False,False,False
44141,Labrador Retriever,American Staffordshire Terrier,True,False,Black,"Tricolor (Brown, Black, & White)",Adult,Male,Large,Short,True,False,False,True,True,True,True
44158,Labrador Retriever,Border Collie,True,False,Black,White / Cream,Baby,Male,Large,Short,True,False,False,True,True,True,True
44197,Pit Bull Terrier,Mixed Breed,True,False,Gray / Blue / Silver,White / Cream,Adult,Female,Large,Short,True,True,False,True,True,True,False
44266,Boston Terrier,Chihuahua,True,False,Black,White / Cream,Young,Female,Small,Short,True,True,False,True,False,True,False
44283,American Bulldog,Boxer,True,False,Brindle,White / Cream,Adult,Female,Medium,Short,True,True,False,True,False,False,False
44313,Maltese,Shih Tzu,True,False,Apricot / Beige,White / Cream,Adult,Male,Small,Short,True,True,False,True,True,True,True
44325,Shih Tzu,Havanese,True,False,Black,White / Cream,Young,Male,Small,Long,True,False,False,True,False,True,True
44392,Great Pyrenees,Border Collie,True,False,Black,White / Cream,Young,Female,Large,Medium,True,True,False,True,True,True,True
44393,Siberian Husky,Alaskan Malamute,True,False,Merle (Red),White / Cream,Adult,Male,Large,Long,True,True,False,True,True,True,False
44465,Pit Bull Terrier,American Staffordshire Terrier,True,False,Gray / Blue / Silver,White / Cream,Adult,Female,Medium,Short,True,True,False,True,True,True,True
44525,Coonhound,American Staffordshire Terrier,True,False,Red / Chestnut / Orange,White / Cream,Adult,Female,Medium,Short,True,True,False,True,True,True,False
44568,Pit Bull Terrier,American Staffordshire Terrier,True,False,Apricot / Beige,White / Cream,Adult,Female,Large,Short,True,True,False,True,False,False,False
44573,Pit Bull Terrier,Boxer,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Young,Male,Medium,Short,True,True,False,True,True,False,False
44589,American Bulldog,English Bulldog,True,False,Brindle,Gray / Blue / Silver,Adult,Female,Large,Short,True,True,False,True,False,False,False
44808,Chihuahua,Dachshund,True,False,Black,Brown / Chocolate,Adult,Male,Small,Short,True,True,True,True,False,False,False
44875,Australian Cattle Dog / Blue Heeler,Labrador Retriever,True,False,Black,White / Cream,Young,Male,Medium,Long,True,True,False,True,True,True,True
45043,Australian Shepherd,Labrador Retriever,True,False,Golden,White / Cream,Baby,Male,Large,Medium,False,False,False,True,True,True,True
45044,Australian Shepherd,Labrador Retriever,True,False,Bicolor,Brown / Chocolate,Baby,Male,Large,Medium,False,False,False,True,True,True,True
45045,Pit Bull Terrier,Shepherd,True,False,Golden,White / Cream,Baby,Female,Large,Short,False,False,False,True,True,True,True
45046,Pit Bull Terrier,Shepherd,True,False,Black,White / Cream,Baby,Male,Large,Short,False,False,False,True,True,True,True
45146,Black Mouth Cur,Shepherd,True,False,Black,Yellow / Tan / Blond / Fawn,Baby,Male,Medium,Short,True,True,False,True,True,True,True
45177,Dachshund,Chihuahua,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Young,Female,Small,Short,True,True,False,True,True,True,True
45206,American Staffordshire Terrier,English Bulldog,True,False,Gray / Blue / Silver,White / Cream,Young,Male,Medium,Short,True,True,False,True,True,True,True
45226,Chihuahua,Cattle Dog,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
45320,Staffordshire Bull Terrier,American Staffordshire Terrier,True,False,Brown / Chocolate,White / Cream,Adult,Male,Large,Short,True,True,False,True,True,True,True
45329,West Highland White Terrier / Westie,Chihuahua,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Adult,Male,Small,Wire,True,False,False,True,True,True,True
45332,Australian Cattle Dog / Blue Heeler,Pointer,True,False,Black,White / Cream,Young,Female,Medium,Short,True,True,False,True,True,True,True
45335,German Shepherd Dog,Mixed Breed,True,False,Bicolor,Black,Young,Female,Medium,Long,True,True,False,True,False,True,False
45352,Beagle,Pug,True,False,Apricot / Beige,White / Cream,Adult,Male,Small,Short,True,True,False,True,True,True,True
45366,Italian Greyhound,Terrier,True,False,Black,White / Cream,Adult,Female,Medium,Short,True,True,False,True,False,True,False
45385,Collie,Labrador Retriever,True,False,Golden,White / Cream,Young,Male,Medium,Medium,True,True,False,True,True,True,True
45454,Black Mouth Cur,Hound,True,False,Brindle,White / Cream,Baby,Male,Medium,Short,True,False,False,True,True,True,True
45455,Black Mouth Cur,Hound,True,False,Brindle,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
45457,Hound,Black Mouth Cur,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
45495,Dalmatian,Australian Cattle Dog / Blue Heeler,True,False,Black,White / Cream,Adult,Female,Medium,Short,False,False,False,True,True,True,True
45496,Dalmatian,Australian Cattle Dog / Blue Heeler,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
45503,Terrier,Feist,True,False,Bicolor,Yellow / Tan / Blond / Fawn,Baby,Female,Medium,Short,False,False,False,True,True,True,True
45582,Beagle,German Shorthaired Pointer,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
45583,Beagle,German Shorthaired Pointer,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
45584,Beagle,German Shorthaired Pointer,True,False,Black,Yellow / Tan / Blond / Fawn,Baby,Female,Medium,Short,True,False,False,True,True,True,True
45585,Beagle,German Shorthaired Pointer,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
45630,American Bulldog,Shar-Pei,True,False,Black,White / Cream,Baby,Male,Large,Short,False,False,False,True,True,True,True
45631,Labrador Retriever,Terrier,True,False,Black,White / Cream,Baby,Female,Medium,Short,False,False,False,True,True,True,True
45664,Dalmatian,Pit Bull Terrier,True,False,Black,White / Cream,Adult,Female,Large,Short,True,True,False,True,True,True,True
45665,Beagle,Mixed Breed,True,False,Brown / Chocolate,White / Cream,Young,Female,Medium,Short,True,True,False,True,True,True,True
45751,Mastiff,Boxer,True,False,Apricot / Beige,White / Cream,Adult,Female,Extra Large,Short,True,True,False,True,True,True,False
45894,Pit Bull Terrier,Labrador Retriever,True,False,Black,White / Cream,Senior,Female,Extra Large,Short,True,True,False,True,True,True,True
45896,Mixed Breed,Miniature Pinscher,True,False,Black,Brown / Chocolate,Baby,Male,Medium,Short,True,False,False,True,True,True,True
45912,Great Pyrenees,Spitz,True,False,Black,White / Cream,Baby,Male,Large,Long,False,False,False,True,True,True,True
45913,Great Pyrenees,German Shepherd Dog,True,False,Black,Golden,Adult,Male,Extra Large,Long,True,True,False,True,False,True,True
45936,Terrier,Pit Bull Terrier,True,False,Black,White / Cream,Adult,Female,Large,Short,True,False,False,True,True,False,False
45957,Terrier,American Staffordshire Terrier,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Adult,Female,Large,Short,False,False,False,True,True,True,False
45980,Labrador Retriever,Hound,True,False,Black,White / Cream,Young,Female,Medium,Medium,False,True,False,False,True,True,False
46041,Labrador Retriever,Mixed Breed,True,False,Sable,White / Cream,Young,Male,Medium,Medium,True,False,False,True,True,True,True
